mu,V_M1.0,V_M0.9,V_M0.8
0.0,1.0,0.9,0.8
0.005,0.9900990099009901,0.8910891089108911,0.7920792079207921
0.01,0.9803921568627451,0.8823529411764706,0.7843137254901961
0.015,0.970873786407767,0.8737864077669902,0.7766990291262136
0.02,0.9615384615384615,0.8653846153846154,0.7692307692307693
0.025,0.9523809523809523,0.8571428571428571,0.7619047619047619
0.03,0.9433962264150942,0.8490566037735849,0.7547169811320755
0.035,0.9345794392523364,0.8411214953271028,0.7476635514018691
0.04,0.9259259259259258,0.8333333333333333,0.7407407407407407
0.045,0.9174311926605504,0.8256880733944953,0.7339449541284404
0.05,0.9090909090909091,0.8181818181818181,0.7272727272727273
0.055,0.9009009009009008,0.8108108108108107,0.7207207207207207
0.06,0.8928571428571428,0.8035714285714285,0.7142857142857143
0.065,0.8849557522123894,0.7964601769911506,0.7079646017699116
0.07,0.8771929824561403,0.7894736842105262,0.7017543859649122
0.075,0.8695652173913044,0.782608695652174,0.6956521739130436
0.08,0.8620689655172414,0.7758620689655173,0.6896551724137931
0.085,0.8547008547008548,0.7692307692307693,0.6837606837606839
0.09,0.8474576271186441,0.7627118644067797,0.6779661016949153
0.095,0.8403361344537815,0.7563025210084034,0.6722689075630253
0.1,0.8333333333333334,0.75,0.6666666666666667
0.105,0.8264462809917356,0.7438016528925621,0.6611570247933884
0.11,0.819672131147541,0.7377049180327869,0.6557377049180328
0.115,0.8130081300813008,0.7317073170731707,0.6504065040650407
0.12,0.8064516129032259,0.7258064516129032,0.6451612903225807
0.125,0.8,0.72,0.64
0.13,0.7936507936507936,0.7142857142857143,0.634920634920635
0.135,0.7874015748031495,0.7086614173228346,0.6299212598425197
0.14,0.78125,0.703125,0.625
0.145,0.7751937984496123,0.6976744186046512,0.6201550387596899
0.15,0.7692307692307692,0.6923076923076923,0.6153846153846154
0.155,0.7633587786259541,0.6870229007633588,0.6106870229007634
0.16,0.7575757575757576,0.6818181818181818,0.6060606060606061
0.165,0.7518796992481203,0.6766917293233082,0.6015037593984962
0.17,0.7462686567164178,0.6716417910447761,0.5970149253731343
0.17500000000000002,0.7407407407407407,0.6666666666666666,0.5925925925925926
0.18,0.7352941176470589,0.661764705882353,0.5882352941176472
0.185,0.7299270072992701,0.656934306569343,0.583941605839416
0.19,0.7246376811594204,0.6521739130434784,0.5797101449275364
0.195,0.7194244604316546,0.6474820143884892,0.5755395683453237
0.2,0.7142857142857143,0.6428571428571429,0.5714285714285715
0.20500000000000002,0.7092198581560283,0.6382978723404255,0.5673758865248226
0.21,0.7042253521126761,0.6338028169014085,0.5633802816901409
0.215,0.6993006993006994,0.6293706293706294,0.5594405594405595
0.22,0.6944444444444444,0.625,0.5555555555555556
0.225,0.6896551724137931,0.6206896551724138,0.5517241379310345
0.23,0.684931506849315,0.6164383561643836,0.5479452054794521
0.23500000000000001,0.6802721088435374,0.6122448979591837,0.54421768707483
0.24,0.6756756756756757,0.6081081081081081,0.5405405405405406
0.245,0.6711409395973155,0.6040268456375839,0.5369127516778524
0.25,0.6666666666666666,0.6,0.5333333333333333
0.255,0.6622516556291391,0.5960264900662252,0.5298013245033113
0.26,0.6578947368421053,0.5921052631578947,0.5263157894736842
0.265,0.6535947712418301,0.5882352941176471,0.5228758169934641
0.27,0.6493506493506493,0.5844155844155844,0.5194805194805195
0.275,0.6451612903225806,0.5806451612903226,0.5161290322580645
0.28,0.641025641025641,0.5769230769230769,0.5128205128205129
0.28500000000000003,0.6369426751592356,0.5732484076433121,0.5095541401273885
0.29,0.6329113924050632,0.569620253164557,0.5063291139240507
0.295,0.628930817610063,0.5660377358490567,0.5031446540880504
0.3,0.625,0.5625,0.5
0.305,0.6211180124223603,0.5590062111801243,0.49689440993788825
0.31,0.6172839506172839,0.5555555555555556,0.49382716049382713
0.315,0.6134969325153374,0.5521472392638037,0.49079754601227
0.32,0.6097560975609756,0.548780487804878,0.4878048780487805
0.325,0.6060606060606061,0.5454545454545455,0.4848484848484849
0.33,0.6024096385542168,0.5421686746987951,0.4819277108433735
0.335,0.5988023952095809,0.5389221556886228,0.4790419161676647
0.34,0.5952380952380952,0.5357142857142857,0.47619047619047616
0.34500000000000003,0.591715976331361,0.5325443786982249,0.4733727810650888
0.35000000000000003,0.588235294117647,0.5294117647058824,0.47058823529411764
0.355,0.5847953216374269,0.5263157894736842,0.46783625730994155
0.36,0.5813953488372093,0.5232558139534884,0.4651162790697675
0.365,0.5780346820809249,0.5202312138728324,0.46242774566473993
0.37,0.5747126436781609,0.5172413793103449,0.4597701149425288
0.375,0.5714285714285714,0.5142857142857143,0.4571428571428572
0.38,0.5681818181818182,0.5113636363636364,0.4545454545454546
0.385,0.5649717514124294,0.5084745762711864,0.4519774011299435
0.39,0.5617977528089888,0.5056179775280899,0.44943820224719105
0.395,0.5586592178770949,0.5027932960893855,0.446927374301676
0.4,0.5555555555555556,0.5,0.4444444444444445
0.405,0.5524861878453039,0.4972375690607735,0.44198895027624313
0.41000000000000003,0.5494505494505494,0.4945054945054945,0.43956043956043955
0.41500000000000004,0.5464480874316939,0.4918032786885246,0.4371584699453552
0.42,0.5434782608695653,0.48913043478260876,0.4347826086956522
0.425,0.5405405405405405,0.48648648648648646,0.43243243243243246
0.43,0.5376344086021506,0.48387096774193555,0.4301075268817205
0.435,0.53475935828877,0.48128342245989303,0.42780748663101603
0.44,0.5319148936170213,0.4787234042553192,0.4255319148936171
0.445,0.5291005291005291,0.47619047619047616,0.42328042328042326
0.45,0.5263157894736842,0.4736842105263158,0.4210526315789474
0.455,0.5235602094240838,0.4712041884816754,0.418848167539267
0.46,0.5208333333333334,0.46875000000000006,0.4166666666666667
0.465,0.5181347150259067,0.46632124352331605,0.41450777202072536
0.47000000000000003,0.5154639175257733,0.4639175257731959,0.4123711340206186
0.47500000000000003,0.5128205128205128,0.4615384615384615,0.41025641025641024
0.48,0.5102040816326531,0.45918367346938777,0.40816326530612246
0.485,0.5076142131979695,0.4568527918781726,0.4060913705583757
0.49,0.5050505050505051,0.4545454545454546,0.4040404040404041
0.495,0.5025125628140703,0.45226130653266333,0.4020100502512563
0.5,0.5,0.45,0.4
